user,review,rating,review_tokenized,no_stopword,stemmed_review,lemmatized_review
Nathania Astrid Amanda,"sekarang gojek mahal, jadi kecewa. aku yg anak kos mau berhemat jadi gabisa, malah harus sering puasa. biasanya gratis ongkir malah sekarang jarang banget gratis ongkir dan jam ekonomis nya skrng labil banget, berubah² gak kayak taun² sebelumnya. biasa juga salah satunya beli martabak 12rb semenjak ada ongkir jadi 17rb alhasil gapernah beli lagi, hadeh kecewa.",1,"sekarang gojek mahal, jadi kecewa. aku yg anak kos mau berhemat jadi gabisa, malah harus sering puasa. biasanya gratis ongkir malah sekarang jarang banget gratis ongkir dan jam ekonomis nya skrng labil banget, berubah² gak kayak taun² sebelumnya. biasa juga salah satunya beli martabak 12rb semenjak ada ongkir jadi 17rb alhasil gapernah beli lagi, hadeh kecewa.","sekarang gojek mahal, jadi kecewa. aku yg anak kos mau berhemat jadi gabisa, malah sering puasa. biasanya gratis ongkir malah sekarang jarang banget gratis ongkir jam ekonomis nya skrng labil banget, berubah² gak kayak taun² sebelumnya. biasa salah satunya beli martabak 12rb semenjak ongkir jadi 17rb alhasil gapernah beli lagi, hadeh kecewa.",sekarang gojek mahal jadi kecewa aku yg anak kos mau hemat jadi gabisa malah harus sering puasa biasa gratis ongkir malah sekarang jarang banget gratis ongkir dan jam ekonomis nya skrng labil banget ubah gak kayak taun belum biasa juga salah satu beli martabak 12rb semenjak ada ongkir jadi 17rb alhasil gapernah beli lagi hadeh kecewa,martabak 12 17
Yuli Dawami,"next tolong ditingkatkan lagi sistemnya min tadi saya pesan gocar dan menaiki taksi yg sesuai dengan aplikasi...eh setelah saya sampai tujuan entah kenapa aplikasi gocar saya pesan gocar lain, padahal taksi yg saya naiki sesuai aplikasi 🫠 dan saya tidak pesan double gocar... sistemnya tolong lebih canggih lagi, karena saya gk double klik pesanan saat itu",3,"next tolong ditingkatkan lagi sistemnya min tadi saya pesan gocar dan menaiki taksi yg sesuai dengan aplikasi...eh setelah saya sampai tujuan entah kenapa aplikasi gocar saya pesan gocar lain, padahal taksi yg saya naiki sesuai aplikasi 🫠 dan saya tidak pesan double gocar... sistemnya tolong lebih canggih lagi, karena saya gk double klik pesanan saat itu","next ditingkatkan sistemnya min tadi pesan gocar menaiki taksi yg sesuai aplikasi...eh tujuan entah aplikasi gocar pesan gocar lain, padahal taksi yg saya naiki sesuai aplikasi 🫠 saya pesan double gocar... sistemnya lebih canggih lagi, saya gk double klik pesanan itu",next tolong tingkat lagi sistem min tadi saya pesan gocar dan naik taksi yg sesuai dengan aplikasi eh telah saya sampai tuju entah kenapa aplikasi gocar saya pesan gocar lain padahal taksi yg saya naik sesuai aplikasi dan saya tidak pesan double gocar sistem tolong lebih canggih lagi karena saya gk double klik pesan saat itu,next gocar taksi gocar gocar taksi double gocar
Vlog Boboboy,"biaya aplikasi selalu di sematkan dipotongan driver tiap orderan tapi aplikasi nya sering bug eror ga karuan . fix penjajahan ke driver ini mah cek di apk gosend , driver tidak bisa ambil nomer hp penerima pdhl pelanggan sudah input data nya. crosscek lg kalo ga percaya min mimin yg paling pintar",1,"biaya aplikasi selalu di sematkan dipotongan driver tiap orderan tapi aplikasi nya sering bug eror ga karuan . fix penjajahan ke driver ini mah cek di apk gosend , driver tidak bisa ambil nomer hp penerima pdhl pelanggan sudah input data nya. crosscek lg kalo ga percaya min mimin yg paling pintar","biaya aplikasi selalu sematkan dipotongan driver tiap orderan aplikasi nya sering bug eror ga karuan . fix penjajahan driver mah cek apk gosend , driver bisa ambil nomer hp penerima pdhl pelanggan input data nya. crosscek lg kalo ga percaya min mimin yg paling pintar",biaya aplikasi selalu di semat potong driver tiap order tapi aplikasi nya sering bug eror ga karuan fix jajah ke driver ini mah cek di apk gosend driver tidak bisa ambil nomer hp terima pdhl langgan sudah input data nya crosscek lg kalo ga percaya min mimin yg paling pintar,hp lg kal min
retno apriliani,"semua mitranya pemalas! tidak ada yang bersedia mengambil orderan ketika hujan, pdhl saya sebagai customer tidak apa jika menunggu agak lama asalkan pesanan sampai. tapi selalu kena cancel. itu mitra nya di nina bobok an saja klo musim hujan, gausah kerja, manja !",1,"semua mitranya pemalas! tidak ada yang bersedia mengambil orderan ketika hujan, pdhl saya sebagai customer tidak apa jika menunggu agak lama asalkan pesanan sampai. tapi selalu kena cancel. itu mitra nya di nina bobok an saja klo musim hujan, gausah kerja, manja !","semua mitranya pemalas! ada bersedia mengambil orderan hujan, pdhl sebagai customer apa menunggu lama asalkan pesanan sampai. selalu kena cancel. mitra nya nina bobok an klo musim hujan, gausah kerja, manja !",semua mitra malas tidak ada yang sedia ambil order ketika hujan pdhl saya bagai customer tidak apa jika tunggu agak lama asal pesan sampai tapi selalu kena cancel itu mitra nya di nina bobok an saja klo musim hujan gausah kerja manja,nina
Delta Mudzaki,"halah, pesen go food mau pake yang mode cepat juga sama aja boong, terlambat terus. dah gitu ga dapet kompensasi apa apa lagi. gua tau kadang susah nyari driver tapi setidaknya dapat kompensasi kek. mesen makan jam 3 pagi datengnya jam set 5 pagi tuh kayak apa ya.....",1,"halah, pesen go food mau pake yang mode cepat juga sama aja boong, terlambat terus. dah gitu ga dapet kompensasi apa apa lagi. gua tau kadang susah nyari driver tapi setidaknya dapat kompensasi kek. mesen makan jam 3 pagi datengnya jam set 5 pagi tuh kayak apa ya.....","halah, pesen go food mau pake mode cepat sama aja boong, terlambat terus. dah gitu ga dapet kompensasi apa apa lagi. gua tau kadang susah nyari driver setidaknya kompensasi kek. mesen makan jam 3 pagi datengnya jam set 5 pagi tuh kayak apa ya.....",halah sen go food mau pake yang mode cepat juga sama aja boong lambat terus dah gitu ga dapet kompensasi apa apa lagi gua tau kadang susah nyari driver tapi tidak dapat kompensasi kek mesen makan jam 3 pagi datengnya jam set 5 pagi tuh kayak apa ya,go food 3 5
Novi Elpeu,"aplikasi cepet banget keluar/logout sendiri. entah aplikasi ku sendiri atau semuanya. bug atau gimana gak ngerti deh. mengganggu banget kalau tiap kali buka aplikasi gojek harus login terus. minimal kalau demi keamaan login secara berkala aja seminggu sekali. ini tiap kali buka harus login. gak efisien, spam kode verifikasi jadinya",2,"aplikasi cepet banget keluar/logout sendiri. entah aplikasi ku sendiri atau semuanya. bug atau gimana gak ngerti deh. mengganggu banget kalau tiap kali buka aplikasi gojek harus login terus. minimal kalau demi keamaan login secara berkala aja seminggu sekali. ini tiap kali buka harus login. gak efisien, spam kode verifikasi jadinya","aplikasi cepet banget keluar/logout sendiri. entah aplikasi ku sendiri semuanya. bug gimana gak ngerti deh. mengganggu banget kalau tiap kali buka aplikasi gojek login terus. minimal kalau keamaan login berkala aja seminggu sekali. tiap kali buka login. gak efisien, spam kode verifikasi jadinya",aplikasi cepet banget keluar logout sendiri entah aplikasi ku sendiri atau semua bug atau gimana gak ngerti deh ganggu banget kalau tiap kali buka aplikasi gojek harus login terus minimal kalau demi ama login cara kala aja minggu sekali ini tiap kali buka harus login gak efisien spam kode verifikasi jadi,gojek
nugraha rayhan,"tiap pesen go ride selalu lama dapetnya, mau ujan ato engga, selalu lama, nunggu sampe setengah jam lebih juga ngga dapet dapet, ngga rekomen buat yang lagi dikejar waktu, perbaiki tuh yang suka matiin aplikasi",1,"tiap pesen go ride selalu lama dapetnya, mau ujan ato engga, selalu lama, nunggu sampe setengah jam lebih juga ngga dapet dapet, ngga rekomen buat yang lagi dikejar waktu, perbaiki tuh yang suka matiin aplikasi","tiap pesen go ride selalu lama dapetnya, mau ujan ato engga, selalu lama, nunggu sampe setengah jam lebih ngga dapet dapet, ngga rekomen buat lagi dikejar waktu, perbaiki tuh suka matiin aplikasi",tiap sen go ride selalu lama dapetnya mau ujan ato engga selalu lama nunggu sampe tengah jam lebih juga ngga dapet dapet ngga rekomen buat yang lagi kejar waktu baik tuh yang suka matiin aplikasi,go ride setengah jam
Kitler,applikasi ini sering banget ngebug khususnya pas gofood.pada estimasi waktu serta lokasi driver.waktu dan lokasi driver nya tetap dan tidak bergerak (diam).tolong diperbaiki bug ini sangat lah menyusahkan,2,applikasi ini sering banget ngebug khususnya pas gofood.pada estimasi waktu serta lokasi driver.waktu dan lokasi driver nya tetap dan tidak bergerak (diam).tolong diperbaiki bug ini sangat lah menyusahkan,applikasi sering banget ngebug khususnya pas gofood.pada estimasi waktu lokasi driver.waktu lokasi driver nya tetap tidak bergerak (diam).tolong diperbaiki bug sangat lah menyusahkan,applikasi ini sering banget ngebug khusus pas gofood pada estimasi waktu serta lokasi driver waktu dan lokasi driver nya tetap dan tidak gerak diam tolong baik bug ini sangat lah susah,
Desi Amelia,"ini gofood ga bisa di cancel udah nunggu sejam, driver ga dapet dari restonya di delayed tapi tetep ga cancel. kan mau nyari makan yg lain jadi susah, mana pembeli ga bisa cancel sendiri. please, kalo dari restonya delayed lama bisa ga otomatis cancel aja",1,"ini gofood ga bisa di cancel udah nunggu sejam, driver ga dapet dari restonya di delayed tapi tetep ga cancel. kan mau nyari makan yg lain jadi susah, mana pembeli ga bisa cancel sendiri. please, kalo dari restonya delayed lama bisa ga otomatis cancel aja","gofood ga cancel udah nunggu sejam, driver ga dapet restonya di delayed tetep ga cancel. kan mau nyari makan yg jadi susah, mana pembeli ga cancel sendiri. please, kalo restonya delayed lama ga otomatis cancel aja",ini gofood ga bisa di cancel udah nunggu jam driver ga dapet dari restonya di delayed tapi tetep ga cancel kan mau nyari makan yg lain jadi susah mana beli ga bisa cancel sendiri please kalo dari restonya delayed lama bisa ga otomatis cancel aja,delayed delayed
Ruffina Pramadyta,"pelayanan cs nya sangat buruk, mungkin bahkan salah satu yg terburuk. customer hanya menanyakan tentang akun apakah bisa dipakai atau tidak, bukannya dijawab malah diperlakukan buruk oleh cs dengan fitnah sana-sini. saya sampai bingung, apakah saya tidak memahami bahasa indonesia apakah cs yg sengaja memperlakukan customer secara buruk? sekali lagi, saya hanya bertanya. udah bener pindah grab aja, layanan cs nya bagus",1,"pelayanan cs nya sangat buruk, mungkin bahkan salah satu yg terburuk. customer hanya menanyakan tentang akun apakah bisa dipakai atau tidak, bukannya dijawab malah diperlakukan buruk oleh cs dengan fitnah sana-sini. saya sampai bingung, apakah saya tidak memahami bahasa indonesia apakah cs yg sengaja memperlakukan customer secara buruk? sekali lagi, saya hanya bertanya. udah bener pindah grab aja, layanan cs nya bagus","pelayanan cs nya sangat buruk, mungkin bahkan salah satu yg terburuk. customer menanyakan akun bisa dipakai tidak, bukannya dijawab malah diperlakukan buruk cs fitnah sana-sini. sampai bingung, memahami bahasa indonesia cs yg sengaja memperlakukan customer buruk? sekali lagi, saya hanya bertanya. udah bener pindah grab aja, layanan cs nya bagus",layan cs nya sangat buruk mungkin bahkan salah satu yg buruk customer hanya tanya tentang akun apakah bisa pakai atau tidak bukan jawab malah laku buruk oleh cs dengan fitnah sana-sini saya sampai bingung apakah saya tidak paham bahasa indonesia apakah cs yg sengaja laku customer cara buruk sekali lagi saya hanya tanya udah bener pindah grab aja layan cs nya bagus,cs indonesia cs
dewi aisyah,"kecewa bgt sama gojek, pesen gofood udah nunggu lama bahkan melebihi estimasi waktu tp status tetep ga berubah dgn keterangan mengalami kendala dalam mencari driver, dan akhirnya malah pesanan dibatalkan, udah nunggu lama banget padahal, kenapa ga ada pilihan batalkan pesanan ? sudah nunggu lama laper"" malah dibatalkan gitu aja ! plis lah kasih pilihan kalo estimasi udh telat harusnya ada pilihan batalkan pesanan jadi konsumen ga perlu nunggu lama !",1,"kecewa bgt sama gojek, pesen gofood udah nunggu lama bahkan melebihi estimasi waktu tp status tetep ga berubah dgn keterangan mengalami kendala dalam mencari driver, dan akhirnya malah pesanan dibatalkan, udah nunggu lama banget padahal, kenapa ga ada pilihan batalkan pesanan ? sudah nunggu lama laper"" malah dibatalkan gitu aja ! plis lah kasih pilihan kalo estimasi udh telat harusnya ada pilihan batalkan pesanan jadi konsumen ga perlu nunggu lama !","kecewa bgt sama gojek, pesen gofood udah nunggu lama bahkan melebihi estimasi waktu tp status tetep ga berubah dgn keterangan mengalami kendala mencari driver, akhirnya malah pesanan dibatalkan, udah nunggu lama banget padahal, ga pilihan batalkan pesanan ? nunggu lama laper"" malah dibatalkan gitu aja ! plis lah kasih pilihan kalo estimasi udh telat harusnya pilihan batalkan pesanan jadi konsumen ga perlu nunggu lama !",kecewa bgt sama gojek sen gofood udah nunggu lama bahkan lebih estimasi waktu tp status tetep ga ubah dgn terang alami kendala dalam cari driver dan akhir malah pesan batal udah nunggu lama banget padahal kenapa ga ada pilih batal pesan sudah nunggu lama laper malah batal gitu aja plis lah kasih pilih kalo estimasi udh telat harus ada pilih batal pesan jadi konsumen ga perlu nunggu lama,bgt gojek pesen gofood tp ga
Andy Sanjaya,"biasanya ada share perjalanan kalau lagi naik ojek, updatean terbaru malah ngga ada menunya, bolak balik cari menu share ngga ada malah mabok pusing mau muntah, dijalanan sambil nyari tombol berbagi perjalanan yg lagi naik ojek. malah makin jelek aplikasinya bikin kesal",1,"biasanya ada share perjalanan kalau lagi naik ojek, updatean terbaru malah ngga ada menunya, bolak balik cari menu share ngga ada malah mabok pusing mau muntah, dijalanan sambil nyari tombol berbagi perjalanan yg lagi naik ojek. malah makin jelek aplikasinya bikin kesal","biasanya share perjalanan kalau naik ojek, updatean terbaru malah ngga menunya, bolak balik cari menu share ngga malah mabok pusing mau muntah, dijalanan nyari tombol berbagi perjalanan yg naik ojek. malah makin jelek aplikasinya bikin kesal",biasa ada share jalan kalau lagi naik ojek updatean baru malah ngga ada menu bolak balik cari menu share ngga ada malah mabok pusing mau muntah jalan sambil nyari tombol bagi jalan yg lagi naik ojek malah makin jelek aplikasi bikin kesal,
Andi Ramdani,"saya membuat pesanan gofood, alamat seharusnya ke alamat default yang saya gunakan seperti biasanya, anehnya alamat tujuan dari order ini malah tidak sesuai, bahkan jauh. padahal gps pada perangkat saya juga sudah aktif",1,"saya membuat pesanan gofood, alamat seharusnya ke alamat default yang saya gunakan seperti biasanya, anehnya alamat tujuan dari order ini malah tidak sesuai, bahkan jauh. padahal gps pada perangkat saya juga sudah aktif","membuat pesanan gofood, alamat ke alamat default gunakan biasanya, anehnya alamat tujuan order malah sesuai, bahkan jauh. padahal gps perangkat saya juga aktif",saya buat pesan gofood alamat harus ke alamat default yang saya guna seperti biasa aneh alamat tuju dari order ini malah tidak sesuai bahkan jauh padahal gps pada perangkat saya juga sudah aktif,gofood gps
Viana “A” 001,"aplikasi gojek sangat bagus dapat memesan makanan lewat aplikasi online, jujur sangat puas saat memakai aplikasi ini. tapi untuk menemukan alamat masih agak tidak benar, banyak abang gojek yang kesasar ataupun tidak pada rumah yang benar, padahal aplikasi gojek saya selalu saya perbarui setiap tahunnya dan untuk maps nya sudah versi terbaru di hp saya dan juga jaringan saya lancar, itu saja permasalahan, semoga aplikasi ini dapat berkembang maksimal di kemudian harinya❤️❤️,",4,"aplikasi gojek sangat bagus dapat memesan makanan lewat aplikasi online, jujur sangat puas saat memakai aplikasi ini. tapi untuk menemukan alamat masih agak tidak benar, banyak abang gojek yang kesasar ataupun tidak pada rumah yang benar, padahal aplikasi gojek saya selalu saya perbarui setiap tahunnya dan untuk maps nya sudah versi terbaru di hp saya dan juga jaringan saya lancar, itu saja permasalahan, semoga aplikasi ini dapat berkembang maksimal di kemudian harinya❤️❤️,","aplikasi gojek sangat bagus memesan makanan lewat aplikasi online, jujur sangat puas memakai aplikasi ini. untuk menemukan alamat agak benar, banyak abang gojek kesasar ataupun pada rumah benar, padahal aplikasi gojek selalu perbarui tahunnya untuk maps nya versi terbaru hp dan jaringan lancar, saja permasalahan, semoga aplikasi dapat berkembang maksimal kemudian harinya❤️❤️,",aplikasi gojek sangat bagus dapat mes makan lewat aplikasi online jujur sangat puas saat pakai aplikasi ini tapi untuk temu alamat masih agak tidak benar banyak abang gojek yang kesasar atau tidak pada rumah yang benar padahal aplikasi gojek saya selalu saya baru tiap tahun dan untuk maps nya sudah versi baru di hp saya dan juga jaring saya lancar itu saja masalah moga aplikasi ini dapat kembang maksimal di kemudian hari,gojekjek gojek hp
akabepe,"1. kejadian arahan map/rute ke tujuan, di tampilan driver dan di tampilan pengguna tidak sama, saran agar dicek 2. saran agar driver diberi pelatihan mengenai attitude dan pelayanan customer, khususnya rute2 tamu (contoh : dari bandara, stasiun dll), contoh pengalaman barusan ketika tamu membandingkan dgn pelayanan taxi terkemuka di tanah air, driver mengatakan ""kenapa tdk pakai taksi tersebut sj kalau bgtu..",1,"1. kejadian arahan map/rute ke tujuan, di tampilan driver dan di tampilan pengguna tidak sama, saran agar dicek 2. saran agar driver diberi pelatihan mengenai attitude dan pelayanan customer, khususnya rute2 tamu (contoh : dari bandara, stasiun dll), contoh pengalaman barusan ketika tamu membandingkan dgn pelayanan taxi terkemuka di tanah air, driver mengatakan ""kenapa tdk pakai taksi tersebut sj kalau bgtu..","1. kejadian arahan map/rute tujuan, tampilan driver tampilan pengguna sama, saran dicek 2. saran driver diberi pelatihan mengenai attitude pelayanan customer, khususnya rute2 tamu (contoh : bandara, stasiun dll), contoh pengalaman barusan tamu membandingkan dgn pelayanan taxi terkemuka di tanah air, driver mengatakan ""kenapa tdk pakai taksi tersebut sj kalau bgtu..",1 jadi arah map rute ke tuju di tampil driver dan di tampil guna tidak sama saran agar cek 2 saran agar driver beri latih kena attitude dan layan customer khusus rute2 tamu contoh dari bandara stasiun dll contoh alam barusan ketika tamu banding dgn layan taxi muka di tanah air driver kata kenapa tdk pakai taksi sebut sj kalau bgtu,1 2 taksi
Azzahra Aqilah Putri,"tolong maps untuk goride atau gocar maupun gofood diarahkan ke arah yang lebih dekat, terjangkau dan mudah diakses. jangan malah diarahkan ke jalan yang lebih jauh dari seharusnya. ada jalan yang lebih mudah dan dekat kenapa harus diarahin ke yang lebih jauh sih. tolong dibenerin.",3,"tolong maps untuk goride atau gocar maupun gofood diarahkan ke arah yang lebih dekat, terjangkau dan mudah diakses. jangan malah diarahkan ke jalan yang lebih jauh dari seharusnya. ada jalan yang lebih mudah dan dekat kenapa harus diarahin ke yang lebih jauh sih. tolong dibenerin.","maps goride gocar maupun gofood diarahkan arah lebih dekat, terjangkau mudah diakses. jangan malah diarahkan jalan lebih jauh seharusnya. jalan lebih mudah dekat harus diarahin yang lebih jauh sih. dibenerin.",tolong maps untuk goride atau gocar maupun gofood arah ke arah yang lebih dekat jangkau dan mudah akses jangan malah arah ke jalan yang lebih jauh dari harus ada jalan yang lebih mudah dan dekat kenapa harus diarahin ke yang lebih jauh sih tolong dibenerin,s goride gocar gofood
ryanti christianna,"hati2 teman2.. permainan sistem gojek.. status makan di draft tidak bisa dihapus.. tiba2 otomatis pembayaran dan status gofood jadi dalam proses.. padahal gak tekan apa2. . operator juga tidak koperatif.. jangan sembarangan tautkan pembayaran otomatis.. di ubah agar ganti alamat juga tidak bsa.. dan herannya, alamat histori pembelian bisa diubah. chat ke operator hnaya diberikan pilihan pertanyaan. tolong hati2 ya... sangat merugikan customer, apalagi yg pembayarannya pakai debit",1,"hati2 teman2.. permainan sistem gojek.. status makan di draft tidak bisa dihapus.. tiba2 otomatis pembayaran dan status gofood jadi dalam proses.. padahal gak tekan apa2. . operator juga tidak koperatif.. jangan sembarangan tautkan pembayaran otomatis.. di ubah agar ganti alamat juga tidak bsa.. dan herannya, alamat histori pembelian bisa diubah. chat ke operator hnaya diberikan pilihan pertanyaan. tolong hati2 ya... sangat merugikan customer, apalagi yg pembayarannya pakai debit","hati2 teman2.. permainan sistem gojek.. status makan draft dihapus.. tiba2 otomatis pembayaran status gofood jadi proses.. padahal gak tekan apa2. . operator tidak koperatif.. jangan sembarangan tautkan pembayaran otomatis.. ubah ganti alamat tidak bsa.. herannya, alamat histori pembelian bisa diubah. chat operator hnaya diberikan pilihan pertanyaan. hati2 ya... sangat merugikan customer, yg pembayarannya pakai debit",hati2 teman2 main sistem gojek status makan di draft tidak bisa hapus tiba2 otomatis bayar dan status gofood jadi dalam proses padahal gak tekan apa2 operator juga tidak koperatif jangan sembarang taut bayar otomatis di ubah agar ganti alamat juga tidak bsa dan heran alamat histori beli bisa ubah chat ke operator hnaya beri pilih tanya tolong hati2 ya sangat rugi customer apalagi yg bayar pakai debit,jek
marettha firdaus,"tidak disarankan lu mesen mending klo pesanannya batal, ini udah engga bisa di batalin nunggunya super lama akhirnya beli aja sendiri alasannya lagi nyari driver tak tanya langsung ke resto nya ""emang kalo gojek mah aplikasi nya suka eror tadi ada 2 orang juga sama""...whatt udah menyampaikan keluhan ke cs tau tau nya yg bales bot komputer dah pokoknya tidak rekomended sama sekali",1,"tidak disarankan lu mesen mending klo pesanannya batal, ini udah engga bisa di batalin nunggunya super lama akhirnya beli aja sendiri alasannya lagi nyari driver tak tanya langsung ke resto nya ""emang kalo gojek mah aplikasi nya suka eror tadi ada 2 orang juga sama""...whatt udah menyampaikan keluhan ke cs tau tau nya yg bales bot komputer dah pokoknya tidak rekomended sama sekali","disarankan lu mesen mending klo pesanannya batal, udah engga di batalin nunggunya super lama akhirnya beli aja sendiri alasannya nyari driver tak tanya langsung resto nya ""emang kalo gojek mah aplikasi nya suka eror tadi 2 orang sama""...whatt udah menyampaikan keluhan cs tau tau nya yg bales bot komputer dah pokoknya rekomended sama sekali",tidak saran lu mesen mending klo pesan batal ini udah engga bisa di batalin nunggunya super lama akhir beli aja sendiri alas lagi nyari driver tak tanya langsung ke resto nya emang kalo gojek mah aplikasi nya suka eror tadi ada 2 orang juga sama whatt udah sampai keluh ke cs tau tau nya yg bales bot komputer dah pokok tidak rekomended sama sekali,lu mesen eng 2 what bot
Eca Harun (echa),"gk jelas gojek ini makin kesini,, biaya layanan makin mahal,,,gopay pinjaman juga gk bisa di pakai ,, percuma nawarkan limit besar tapi tidak bisa ditarik, terlalu banyak persyaratan minta data. penolakan tanpa sebab yg jelas,, tidak bagus lagi.",1,"gk jelas gojek ini makin kesini,, biaya layanan makin mahal,,,gopay pinjaman juga gk bisa di pakai ,, percuma nawarkan limit besar tapi tidak bisa ditarik, terlalu banyak persyaratan minta data. penolakan tanpa sebab yg jelas,, tidak bagus lagi.","gk jelas gojek makin kesini,, biaya layanan makin mahal,,,gopay pinjaman gk di pakai ,, percuma nawarkan limit besar ditarik, terlalu banyak persyaratan minta data. penolakan sebab yg jelas,, tidak bagus lagi.",gk jelas gojek ini makin kesini biaya layan makin mahal gopay pinjam juga gk bisa di pakai percuma nawarkan limit besar tapi tidak bisa tarik terlalu banyak syarat minta data tolak tanpa sebab yg jelas tidak bagus lagi,gk gk
Farhan Muhammad,"pelayanan nya jelek, driver terkesan pilih pilih customer,kalo bisa tolong fitur rating user bisa di lihat,jangan hanya untuk driver doang, pesan dari lama enggak ada yg nerima,sedangkan teman teman saya yang baru order langsung di ambil,kecewa kecewa",1,"pelayanan nya jelek, driver terkesan pilih pilih customer,kalo bisa tolong fitur rating user bisa di lihat,jangan hanya untuk driver doang, pesan dari lama enggak ada yg nerima,sedangkan teman teman saya yang baru order langsung di ambil,kecewa kecewa","pelayanan nya jelek, driver terkesan pilih pilih customer,kalo tolong fitur rating user lihat,jangan untuk driver doang, pesan lama enggak yg nerima,sedangkan teman teman yang baru order langsung di ambil,kecewa kecewa",layan nya jelek driver kes pilih pilih customer kalo bisa tolong fitur rating user bisa di lihat jangan hanya untuk driver doang pesan dari lama enggak ada yg nerima sedang teman teman saya yang baru order langsung di ambil kecewa kecewa,driver doang
Riichie,"yang terburu-buru jgn pesan go-jek, karna kata drivernya gak boleh ngebut², emang dilarang oleh go-jek.. semua driver gitu.. wajar aja, saat saya bilang ""ngebut kak, saya telat"" speed maximal 40km/jam, ya pasti telat lah..",1,"yang terburu-buru jgn pesan go-jek, karna kata drivernya gak boleh ngebut², emang dilarang oleh go-jek.. semua driver gitu.. wajar aja, saat saya bilang ""ngebut kak, saya telat"" speed maximal 40km/jam, ya pasti telat lah..","terburu-buru jgn pesan go-jek, karna kata drivernya gak ngebut², emang dilarang go-jek.. semua driver gitu.. wajar aja, bilang ""ngebut kak, saya telat"" speed maximal 40km/jam, pasti telat lah..",yang buru jgn pesan go-jek karna kata drivernya gak boleh ngebut emang larang oleh go-jek semua driver gitu wajar aja saat saya bilang ngebut kak saya telat speed maximal 40km jam ya pasti telat lah,go - jek go - jek 40km
Iqbaal Here,"kesel banget, gopay plus tiba² dibalikin regular, upgrade gopay plus ditolak mulu udah puluhan kali, padahal udah sesuai kententuan, ktp cuman dipakai di akun ini, verifikasi wajah udah sama, sama ktp, jadi gabisa tranfer sana sini, udah email cs ga dibales, gimana ini? edit: udah email cs nya ga pernah dibales tolongg :) btw udah baca ngatasi nya lewat bantuan dan ga membantu",1,"kesel banget, gopay plus tiba² dibalikin regular, upgrade gopay plus ditolak mulu udah puluhan kali, padahal udah sesuai kententuan, ktp cuman dipakai di akun ini, verifikasi wajah udah sama, sama ktp, jadi gabisa tranfer sana sini, udah email cs ga dibales, gimana ini? edit: udah email cs nya ga pernah dibales tolongg :) btw udah baca ngatasi nya lewat bantuan dan ga membantu","kesel banget, gopay plus tiba² dibalikin regular, upgrade gopay plus ditolak mulu udah puluhan kali, padahal udah sesuai kententuan, ktp cuman dipakai akun ini, verifikasi wajah udah sama, sama ktp, jadi gabisa tranfer sana sini, udah email cs ga dibales, gimana ini? edit: udah email cs nya ga pernah dibales tolongg :) btw udah baca ngatasi nya lewat bantuan ga membantu",kesel banget gopay plus tiba dibalikin regular upgrade gopay plus tolak mulu udah puluh kali padahal udah sesuai kententuan ktp cuman pakai di akun ini verifikasi wajah udah sama sama ktp jadi gabisa tranfer sana sini udah email cs ga dibales gimana ini edit udah email cs nya ga pernah dibales tolongg btw udah baca ngatasi nya lewat bantu dan ga bantu,gopay plus gopay plus mul ktp ktp email cs email cs btw ga
Putry Balqis,"saya baru saja memesan goride. sudah dapat driver, tapi driver nya malah berputar arah tidak sesuai maps alamat saya. driver juga tidak dpt di hubungi, sudah setengah jam saya menunggu sambil memantau lewat maps tapi tetap saja driver tidak menuju alamt saya. al hasil driver tersebut tidak dtg. bahkan pesanan telah di batalkan. padahal sebelum nya saya sudah coba membatalkan pesanan tetapi tidak bisa, malah setelah menunggu sangat lama pesanan itu sudah di batalkan begitu saja. mengecewakan",1,"saya baru saja memesan goride. sudah dapat driver, tapi driver nya malah berputar arah tidak sesuai maps alamat saya. driver juga tidak dpt di hubungi, sudah setengah jam saya menunggu sambil memantau lewat maps tapi tetap saja driver tidak menuju alamt saya. al hasil driver tersebut tidak dtg. bahkan pesanan telah di batalkan. padahal sebelum nya saya sudah coba membatalkan pesanan tetapi tidak bisa, malah setelah menunggu sangat lama pesanan itu sudah di batalkan begitu saja. mengecewakan","baru memesan goride. dapat driver, driver nya malah berputar arah sesuai maps alamat saya. driver dpt hubungi, setengah jam menunggu memantau lewat maps tetap driver menuju alamt saya. al hasil driver tersebut tidak dtg. bahkan pesanan batalkan. padahal nya sudah coba membatalkan pesanan tidak bisa, malah menunggu sangat lama pesanan sudah di batalkan saja. mengecewakan",saya baru saja mes goride sudah dapat driver tapi driver nya malah putar arah tidak sesuai maps alamat saya driver juga tidak dpt di hubung sudah tengah jam saya tunggu sambil pantau lewat maps tapi tetap saja driver tidak tuju alamt saya al hasil driver sebut tidak dtg bahkan pesan telah di batal padahal belum nya saya sudah coba batal pesan tetapi tidak bisa malah telah tunggu sangat lama pesan itu sudah di batal begitu saja kecewa,goride
