title,description
Superhoid Suppositoria Isi 6,"Harga yang tertera untuk 1 blister isi 6 suppositoria Superhoid Supppsitoria merupakan sediaan suppositoria yang digunakan sebagai obat anti nyeri untuk wasir internal dan eksternal, fisura anal, dan proktitis (peradangan pada jaringan lapisan rektum bagian dalam). Obat ini digunakan dengan cara dimasukkan ke dalam anus dan bersifat mudah larut seperti lilin, saat terkena panas tubuh. Saat larut, obat ini kemudian akan bekerja karena diserp oleh jaringan tubuh yang bertujuan mengurangi rasa nyeri dan peradangan pada anus. Referensi : Keterangan Kemasan INFORMASI PADA KEMASAN : BPOM No : DTL 7225903553A1 Cara Pakai : Pada umumnya satu Superhoid suppositoria disisipkan sekali sehari. Dalam keadan parah satu. Superhoid suppositoria 2-3 kali sehari pada awal pengobatan. Khasiat : Meredakan rasa nyeri/sakit pada wasir luar dan dalam, anal fissures, proctitis. Kontra indikasi : Hipersensitif terhadap kandungan obat ini. Perhatian : Superhoid suppositoria ini digunakan setelah buang air besar. Bila terjadi ruam, urtikaria, edema atau berbagai bentuk alergi, hentikan pemakaian. Efek Samping : Dermatitis kontak Komposisi : Benzocaine 1%, Zinc Oxcide 2%, Aluminium Hydroxcide 0,25% Cara Penyimpanan : Simpan ditempat sejuk dan kering Kemasan : 1 Blister @ 6 suppositoria Diproduksi Oleh : PT Triman Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebagainya."
Tong Kang Shuang,"Tong Kang Shuang (krim kurap, panu, kudis, kutu air, gatal) merupakan krim anti jamur yang diindikasikan untuk penggunaan topikal akibat infeksi dermatofit pada kulit. Khasiat dan Kegunaan : Membantu meringankan penyakit kulit yang disebabkan oleh infeksi jamur Membantu mengurangi peradangan pada kulit Membantu mengurangi reaksi gatal pada kulit Membantu melawan infeksi jamur pada kulit Tong Kang Shuang dapat digunakan untuk mengatasi penyakit kulit yang disebabkan oleh infeksi jamur seperti : Tinea Karporis (Kurap) Tinea Kruris (Gatal selangkangan) Tinea Manus (Gatal dan ruam di area tangan) Tinea Pedis (Kutu Air) Kudis Panu Eksim Candiasis Infeksi jamur lainnya Cara Kerja Obat : Bertindak sebagai antimikotik (anti jamur) yang berfungsi untuk melawan infeksi jamur yang menyerang kulit seperti jamur Tricophyton sp, Epdidermophyton floccosum, Pityrosporum sp, dan Candida sp. Menghambat pertumbuhan dan penyebaran infeksi jamur pada kulit. Dosis dan Cara Pemakaian : Dioleskan sekali sehari pada daerah yang terinfeksi dan sekitarnya pada penderita kandidosis kutis, tinea korporis, tinea kruris, tinea manus, tinea pedis dan tinea (pitiriasis) versikolor. Pada penderita dermatitis seboroik : pengobatan sekali atau dua kali sehari. Pengobatan harus dilanjutkan untuk beberapa waktu, sedikitnya sampai beberapa hari setelah gejala-gejala hilang. Diagnosa harus dipertimbangkan kembali jika tidak ada perbaikan klinis setelah 4 minggu pengobatan. Lama pengobatan biasanya sebagai berikut: Tinea versikolor : 2-3 minggu Infeksi ragi : 2-3 minggu Tinea kruris : 2-4 minggu Tinea korporis : 3-4 minggu Tinea pedis : 4-6 minggu Dermatitis seboroik : 2-4 minggu Terapi penunjang dermatitis seboroik: oleskan 1 atau 2 kali seminggu. Terakhir diperbaharui : 24 Juli 2019 Ditinjau Oleh : Fifi Zuliyanti, S. Farm Referensi : Kertas Kemasan INFORMASI PADA KEMASAN : BPOM No : DTL 1842200129A1 Cara Pakai : Penggunaan Topikal Dioleskan sekali sehari pada daerah yang terinfeksi dan sekitarnya pada penderita kandidosis kutis, tinea korporis, tinea kruris, tinea manus, tinea pedis dan tinea (pitiriasis) versikolor. Pada penderita dermatitis seboroik : pengobatan sekali atau dua kali sehari. Pengobatan harus dilanjutkan untuk beberapa waktu, sedikitnya sampai beberapa hari setelah gejala-gejala hilang. Khasiat : Dindikasikan untuk penggunaan topikal pada pengobatan infeksi dermtofit pada kulit sperti : Tinea karporis, Tinea kruris, Tinea manus,, dan Tinea pedis yang disebabkan oleh Trycophyton rubrum, Trycophyton mentagrophytes, Microsporum canis dan Epidermophyton flocosum, juga pengobatan pada kandidosis kutis dan tinea (pityriasis) versikolor. Perhatian : Hindarkan kontak dengan mata, bila hal ini terjadi bilas mata dengan air Untuk mencegah ""rbound effect"" pada pasien yang menggunakan topical kortikosteroid bersamaan dengan ketoconazole topical dan secara bertahap dosis steroid diturunkan selama 2 - 3 minggu sebelum menghentikannya Hati-hati penggunaan pada wanita hamil dan menyusui Keamanan dan efektivitas penggunaan pada anak-anak belum diketahui Efek Samping : Sedikit rasa iritasi dan rasa panas Alergi kulit lokal dermatitis kontak karena ketoconazole atau salah satu komponen obat seperti natrium sulfit atau propilen glikol (jarang) Komposisi : Ketoconazole 2% Cara Penyimpanan : Simpan ditempat sejuk dan kering, terlindung dari cahaya matahari Kemasan : Tube @10 gram Brand : Sano Gratia Farma Diproduksi Oleh : PT Sano Gratia Farma Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebagainya."
Dulcolax Adult 10 Mg 5 Supositoria,"Dulcolax Supositoria merupakan bentuk sediaan supositoria dengan penggunaan pada rektal/anus. Dulcolax Supositoria bekerja dalam 30 menit untuk mengatasi BAB. Obat ini mengandung zat aktif Bisakodil yang merangsang pergerakan pada usus besar sehingga mempermudah pengeluaran kotoran atau BAB. Khasiat dan Kegunaan : Sebagai obat pencahar untuk penggunaan rektal Membantu mempermudah pengeluaran kotoran / BAB Efektif bekerja dalam 30 menit Terakhir diperbaharui: 22 September 2020 Ditinjau Oleh : Rirry Elvira, S.S Referensi : https://www.dulcolax.co.id/produk/supositoria Keterangan Kemasan INFORMASI PADA KEMASAN : BPOM No : DTL 1921208253B1 Cara Pakai : Dewasa dan anak > 10 tahun :?1 supositoria dewasa (10 mg) Anak-anak 6-10 tahun :?1 supositoria pediatrik (5 mg) Jika tablet supositoria terlalu lunak, dinginkan terlebih dahulu di kulkas atau siram air dingin di atasnya selama 30 menit sebelum kemasan dibuka. Cucilah tangan terlebih dahulu sebelum membuka kemasan obat. Setelah kemasan dibuka, berbaring ke samping dan gunakan jari tangan untuk mendorong obat masuk melalui anus ke dalam rektum. Khasiat : Digunakan untuk pasien yang menderita konstipasi. Untuk persiapan prosedur diagnostik, terapi sebelum dan sesudah operasi dan dalam kondisi untuk mempercepat defekasi. Kontra indikasi : DULCOLAX dikontraindikasikan pada pasien ileus, obstruksi usus, kondisi akut abdomen seperti usus buntu, penyakit radang usus akut, dan nyeri perut hebat yang berhubungan dengan mual dan muntah dapat menunjukkan kondisi yang parah. DULCOLAX juga dikontraindikasikan pada dehidrasi berat dan pasien yang diketahui hipersensitivif terhadap bisacodyl atau komponen lain dari produk. Pada kasus tertentu yang sifatnya jarang yaitu kondisi dimana terdapat ketidakcocokan dengan zat tambahan yang terkandung dalam produk obat tersebut (lihat pada bagian peringatan dan Perhatian) penggunaan produk dikontraindikasikan. Perhatian : Seperti semua obat laksatif, DULCOLAX tidak boleh digunakan setiap hari secara terus menerus dalam waktu yang lama tanpa mengetahui penyebab konstipasi. Penggunaan berlebihan dalam waktu lama dapat menyebabkan ketidakseimbangan cairan dan elektrolit dan hipokalemia. Hilangnya cairan usus dapat menyebabkan dehidrasi. Gejala-gejalanya termasuk haus dan oliguria. Pada pasien yang menderita kehilangan cairan dimana dehidrasi dapat membahayakan (misalnya, insufisiensi ginjal, pasien lansia) DULCOLAX harus dihentikan dan hanya boleh diberikan lagi dibawah pengawasan dokter. Anak-anak tidak boleh menggunakan DULCOLAX tanpa petunjuk dokter. Obat pencahar stimulan termasuk DULCOLAX tidak membantu menurunkan berat badan (lihat bagian Farmakologi). Komposisi : 1 supositoria mengandung 10 mg Cara Penyimpanan : Simpan ditempat sejuk dan terhindar dari sinar matahari langsung Kemasan : Dus, 1 strip @ 5 supositoria Diproduksi Oleh : PT Boehringer Ingelheim Indonesia Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebaginya"
Canesten Krim 10 Gr,"Canesten Cream merupakan obat Anti Jamur yang mengandung Kloritimazol 1% untuk membantu mengatasi jamur pada kulit, panu, kadas/kurap, kutu air dan ruam popok. Obat ini bekerja dengan cara menghambat pertumbuhan jamur penyebab infeksi. Khasiat dan Kegunaan : Membantu mengatasi gangguan penyakit kulit yang disebabkan oleh jamur Membantu menghambat infeksi pertumbuhan jamur Efektif digunakan untuk jamur pada kulit, panu, kadas/kurap, kutu air, dan ruam Referensi : https://www.bayer.co.id/id/produk/consumer-health/canesten.php Kertas Kemasan INFORMASI PADA KEMASAN : BPOM No : DTL1202008629A1 Cara Pakai : Oleskan krim Canesten? secukupnya pada daerah kulit sakit 2-3 kali sehari. Dapat juga digunakan sebagai pengobatan lanjutan untuk mencegah berjangkitnya kembali penyakit jamur pada kulit/lipatan - lipatan kulit. Perkembangan positif dengan hilangnya rasa gatal biasanya terjadi dalam minggu pertama pengobatan. Jika tidak memperlihatkan perkembangan positif setelah 4 minggu maka diagnosa harus diulang. Khasiat : Canesten? vuntuk pengobatarr 'topikal dari candidiasis yang disebabkan oieh Candida albicans, pityriasis versicolor yang disebabkan oleh Malassezia furfur, tinea pedis, tinea cruris dan tinea corporis yang disebabkan oleh Trichophyton rubrum. Trichophyton menta grophytes, Epidermophyton floccosum dan Microsporum canis. Digunakan untuk ruam popok. Perhatian : Pengobatan harus dihentikan jika terjadi iritasi atau sensitivitas dan diganti dengan obat yang lebih tepat. Tidak dianjurkan penggunaan pada wanita hamil selama trimester pertama dan selama menyusui Efek Samping : Erythema, stinging, blistering, peeling, edema, pruritus, urticaria, burning, dan iritasi umumnya dari kulit Komposisi : Mengandung Klotrimazol 1 % Cara Penyimpanan : Simpan ditempat sejuk dan kering Kemasan : Tube Netto 10 gram Brand : Buyer Diproduksi Oleh : PT Genero Pharmaceutical Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebaginya"
Dulcolax Pediatric 5 Mg 6 Supositoria,"Dulcolax Supositoria merupakan bentuk sediaan supositoria dengan penggunaan pada rektal/anus. Dulcolax Supositoria bekerja dalam 30 menit untuk mengatasi BAB. Obat ini mengandung zat aktif Bisakodil yang merangsang pergerakan pada usus besar sehingga mempermudah pengeluaran kotoran atau BAB. Khasiat dan Kegunaan : Sebagai obat pencahar untuk penggunaan rektal Membantu mempermudah pengeluaran kotoran / BAB Efektif bekerja dalam 30 menit Terakhir diperbaharui: 22 September 2020 Ditinjau Oleh : Rirry Elvira, S.S Referensi : https://www.dulcolax.co.id/produk/supositoria Keterangan Kemasan INFORMASI PADA KEMASAN : BPOM No : DTL 1921208253A1 Cara Pakai : Dewasa dan anak > 10 tahun :?1 supositoria dewasa (10 mg) Anak-anak 6-10 tahun :?1 supositoria pediatrik (5 mg) Jika tablet supositoria terlalu lunak, dinginkan terlebih dahulu di kulkas atau siram air dingin di atasnya selama 30 menit sebelum kemasan dibuka. Cucilah tangan terlebih dahulu sebelum membuka kemasan obat. Setelah kemasan dibuka, berbaring ke samping dan gunakan jari tangan untuk mendorong obat masuk melalui anus ke dalam rektum. Khasiat : Digunakan untuk pasien yang menderita konstipasi. Untuk persiapan prosedur diagnostik, terapi sebelum dan sesudah operasi dan dalam kondisi untuk mempercepat defekasi. Kontra indikasi : DULCOLAX dikontraindikasikan pada pasien ileus, obstruksi usus, kondisi akut abdomen seperti usus buntu, penyakit radang usus akut, dan nyeri perut hebat yang berhubungan dengan mual dan muntah dapat menunjukkan kondisi yang parah. DULCOLAX?juga dikontraindikasikan pada dehidrasi berat dan pasien yang diketahui hipersensitivif terhadap bisacodyl atau komponen lain dari produk. Pada kasus tertentu yang sifatnya jarang yaitu kondisi dimana terdapat ketidakcocokan dengan zat tambahan yang terkandung dalam produk obat tersebut (lihat pada bagian peringatan dan Perhatian) penggunaan produk dikontraindikasikan. Perhatian : Seperti semua obat laksatif, DULCOLAX tidak boleh digunakan setiap hari secara terus menerus dalam waktu yang lama tanpa mengetahui penyebab konstipasi. Penggunaan berlebihan dalam waktu lama dapat menyebabkan ketidakseimbangan cairan dan elektrolit dan hipokalemia. Hilangnya cairan usus dapat menyebabkan dehidrasi. Gejala-gejalanya termasuk haus dan oliguria. Pada pasien yang menderita kehilangan cairan dimana dehidrasi dapat membahayakan (misalnya, insufisiensi ginjal, pasien lansia) DULCOLAX harus dihentikan dan hanya boleh diberikan lagi dibawah pengawasan dokter. Anak-anak tidak boleh menggunakan DULCOLAX tanpa petunjuk dokter. Obat pencahar stimulan termasuk DULCOLAX tidak membantu menurunkan berat badan (lihat bagian Farmakologi). Komposisi : 1 supositoria mengandung 5 mg Cara Penyimpanan : Simpan ditempat sejuk dan terhindar dari sinar matahari langsung Kemasan : Dus, 1 strip @ 6 supositoria Diproduksi Oleh : PT Boehringer Ingelheim Indonesia Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebaginya"
Mycorine Cream 5 Gr,"Mycorine cream adalah obat yang digunakan untuk mengobati penyakit kulit akibat infeksi jamur. Mycorine cream mengandung zat aktif miconazole yang termasuk obat anti jamur golongan imidazole. Miconazole umumnya digunakan untuk mengobati berbagai infeksi jamur pada kulit seperti (panu, kurap, dan kaki atlet), dan infeksi jamur pada mulut dan vagina. Selain itu, juga bisa digunakan sebagai obat sariawan pada bayi. Obat ini termasuk golongan imidazole yang bekerja dengan cara mengubah permeabilitas dinding sel jamur. Khasiat dan Kegunaan : Membantu mengobati berbagai infeksi jamur pada kulit Membantu mengurangi peradangan seperti rasa gatal, ruam, dan kemerahan pada kulit Efektif untuk panu, kurap, dan kutu air, dan infeksi jamur pada mulut dan vagina.? Referensi : Keterangan Kemasan INFORMASI PADA KEMASAN : BPOM No : DTL 9127804424A1 Cara Pakai : Oleskan pada kulit yang terinfeksi 2 kali sehari (pagi dan sore) untuk Tinea Korporis, Tinea Pedis, Tinea Kruris. Satu kali sehari untuk Tinea versikolor. Biasanya pengobatan berlangsung selama 2 - 4 minggu Jika pengobatan berlangsung selama satu bulan dan belum ada kemajuan kllnis maka sebaiknya dilakukan pemeriksaan ulang. Khasiat : Tinea Korporis Tinea Pedis Tinea Kruris Tinea Versikolor Kontra indikasi : Hipersensitivitas terhadap Miconazole. Perhatian : Bila terjadi reaksi sensitisasi atau iritasi kimia, hentikan pemakaian. Hindari kontak dengan mata. Efek Samping : Biasanya ringan, berupa iritasi lokal, maserasi atau perasaan terbakar. Komposisi : Mycorine mengandung Miconazole Nitrat 2 % Cara Penyimpanan : Simpan ditempat sejuk dan kering Kemasan : Tube netto 5 gram Diproduksi Oleh : PT Galenium Pharmasia Laboratories Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebagainya."
Oxycan Green Kaleng 500 Cc,"Oxycan adalah tabung oksigen portable tanpa selang dan regulator yang mudah digunakan dan praktis dibawa kemana saja. Oxycan digunakan sebagai pertolongan pertama pada penderita yang mengalami keluhan sesak nafas atau kekurangan oksigen setelah berolahraga ataupun beraktifitas berat dan adanya riwayat penyakit asma. Fitur dan Kegunaan : Oksigen portable tanpa selang dan regulator Praktis dan mudah digunakan Digunakan sebagai tabung oksigen pertolongan pertama pada penderita yang mengalami keluhan sesak napas / kekurangan oksigen akibat berolahraga dan beraktifitas berat atau adanya riwayat penyakit asma Dapat digunakan pada kondisi kelelahan, kualitas udara buruk, dan tempat ketinggian dengan kadar oksigen yang rendah Terakhir diperbaharui: 18 November 2020 Ditinjau Oleh : Rirry Elvira, S.S Referensi : Keterangan Kemasan INFORMASI PADA KEMASAN : BPOM No : DTL 1843200189A1 Cara Pakai : Lepaskan masker dan buka tutupnya Pasang masker pada nozzle di kaleng Tutup hidung dengan masker Tekan nozzle dan hirup dalam-dalam selama 1 - 2 detik Ulangi sesuai kebutuhan Khasiat : Membantu mengembalikan kadar oksigen tubuh pada tingkat normal saat tubuh kekurangan oksigen karena kelelahan, olahraga berat, stress, pada tempat tinggi, kualitas udara yang buruk, dll. Kontra indikasi : Bayi prematur Perhatian : Jauhkan dari api dan panas matahari langsung Jauhkan dari oli atau minyak untuk menghindari bahya meledak Jauhkan dari jangkauan anak-anak Jangan melubangi kaleng Jangan menyemprot langsung ke api atau pakaian Komposisi : 95% oksigen murni Cara Penyimpanan : Simpan di tempat sejuk dan terhindar dari sinar matahari langsung Kemasan : Kaleng Spray 500cc Diproduksi Oleh : SAMATOR Pharmaceutical Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebagainya."
Magalat Sirup 100 ml,"Magalat merupakan obat kunyah dengan kandungan Magaldrate yang bekerja secara sinergis dalam mengatasi masalah pencernaan seperti produksi asam lambung berlebih, perut kembung, nyeri ulu hati akibat iritasi asam lambung dan lain-lain. Manfaat Magalat : Dapat mengatasi gejala yang berhubungan dengan lambung Meringankan nyeri ulu hati akibat iritasi oleh asam lambung Mengurangi rasa kembung dan perasaan penuh pada lambung Refrensi : Keterangan Kemasan INFORMASI PADA KEMASAN : BPOM No :DBL8805004933A1 Cara Pakai : Dewasa : 1-2 sendok takar sesudah atau antara waktu makan dan dosis terakhir sebelum tidur, atau sesuai petunjuk dokter. Khasiat : Magalat diindikasikan untuk gangguan lambung akibat kadar asam yang berlebihan tanpa rasa kembung. Sebagai pengobatan simtomatik untuk peptic ucer, gastritis, esofagitis dan hiatus hernia. Kontra indikasi : Insufisiensi ginjal. Perhatian : Pemakaian jangka panjang. Efek Samping : Gangguan fungsi usus, hipofosfatemia, konstipasi, diare(jarang). Komposisi : Tiap sendok takar (5 ml) mengandung: Magaldrate 540 mg Cara Penyimpanan : Simpan dibawah suhu 30 celsius, terlindung dari cahaya Kemasan : Dus, 1 Botol @ 100 ml Diproduksi Oleh : PT Ferron Par Pharmaceuticals Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebaginya Expired : Expired Min > 3 Bulan"
Rohto Eye Flush,"Rohto Eye Flush mengandung Distilled Witch Hazel 13% (v/v) , T ocopheryl Acetate (Vitamin E) , Benzolkonikum Chloride 0.004% (w/v) , Purifed Water , L-Menthol , Disodium EDTA , Polysorbate 80 , Boric Acid , dan Sodium Borate . Indikasi : Membersihkan mata, menyejukkan dan menyegarkan kembali mata yang lelah. Meringankan iritasi ringan pada mata yang disebabkan oleh udara berdebu atau berasap, mengemudi atau pekerjaan yang memerlukan penglihatan dekat. Kontraindikasi : Hipersensitivitas terhadap salah satu bahan dalam produk ini. Cara Pakai : Sebelum menggunakan Rohto Eye Flush, bersihkan daerah sekitar mata serta bersihkan eye bath (mangkuk untuk cairan pencuci mata) dan bilas menggunakan cairan Rohto Eye Flush. Tuangkan kurang lebih 5 mL Rohto Eye Flush atau sesuai garis petunjuk pada eye bath. Dengan posisi kepala menunduk, tempelkan eye bath pada salah satu mata hingga posisinya sesuai dan menempel dengan baik. Kedipkan mata beberapa kali sambil tekan-tekan perlahan bagian bawah eye bath agar cairan mengalir dengan optimal untuk membersihkan mata. Lakukan selama kurang lebih 30 detik dalam posisi sedikit menunduk atau sedikit mendongak, tanpa perlu khawatir caira tumpah. Cairan Rohto Eye Flush akan mengalir untuk membersihkan dan menyegarkan. Buang cairan yang sudah terpakai dan bilas eye bath menggunakan Rohto Eye Flush. Lakukan prosedur yang sama untuk mata lainnya dengan menggunakan cairan Rohto Eye Flush yang baru. Setelah menggunakan Rohto Eye Flush, tutup mata sebentar dan bersihkan sisa cairan. Hindari membasuh mata dengan air. Bilas kembali eye bath dengan menggunakan cairan Rohto Eye Flush dan keringkan setelah digunakan. Gunakan secara teratur sesuai kebutuhan. Terakhir diperbaharui : 20 April 2019 Ditinjau Oleh : Mita Saputri Lestari, S. Farm Referensi : Keterangan Kemasan. INFORMASI PADA KEMASAN : BPOM No : No. Reg DBL 1440000645A1 Cara Pakai : Sebelum menggunakan Rohto Eye Flush, bersihkan daerah sekitar mata serta bersihkan eye bath (mangkuk untuk cairan pencuci mata) dan bilas menggunakan cairan Rohto Eye Flush. Tuangkan kurang lebih 5 mL Rohto Eye Flush atau sesuai garis petunjuk pada eye bath. Dengan posisi kepala menunduk, tempelkan eye bath pada salah satu mata hingga posisinya sesuai dan menempel dengan baik. Kedipkan mata beberapa kali sambil tekan-tekan perlahan bagian bawah eye bath agar cairan mengalir dengan optimal untuk membersihkan mata. Lakukan selama kurang lebih 30 detik dalam posisi sedikit menunduk atau sedikit mendongak, tanpa perlu khawatir caira tumpah. Cairan Rohto Eye Flush akan mengalir untuk membersihkan dan menyegarkan. Khasiat : Membersihkan mata, menyejukkan dan menyegarkan kembali mata yang lelah. Meringankan iritasi ringan pada mata yang disebabkan oleh udara berdebu atau berasap, mengemudi atau pekerjaan yang memerlukan penglihatan dekat. Perhatian : Gunakan eye bath secara pribadi dan hindari pemakaian bersama dengan orang lain. Setelah kemasan dibuka, obat hanya digunakan sampai 3 bulan. Jauhkan dari jangkauan anak-anak. Efek Samping : Walau jarang terjadi namun hipersensitivitas dapat terjadi pada salah satu bahan dalam produk ini. Komposisi : Rohto Eye Flush mengandung Distilled Witch Hazel 13% (v/v) , T ocopheryl Acetate (Vitamin E) , Benzolkonikum Chloride 0.004% (w/v) , Purifed Water , L-Menthol , Disodium EDTA , Polysorbate 80 , Boric Acid , dan Sodium Borate . Cara Penyimpanan : Simpan ditempat sejuk dan kering, terlindung dari cahaya matahari Kemasan : Netto 150 ml Brand : Rohto Diproduksi Oleh : PT. Rohto Laboratories Indonesia Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebagainya."
Longatin 25 Mg 4 Kapsul,"Longatin Kapsul merupakan obat yang digunakan untuk membantu meredakan batuk tidak berdahak atau yang menimbulkan rasa sakit. Obat ini mengandung Noscapine 25 mg yang bekerja sebagai antitusif untuk menekan batuk secara sentral. Terakhir diperbaharui: 28 Januari 2023 Ditinjau Oleh : Rirry Elvira, S.S Referensi : Kertas Kemasan. INFORMASI PADA KEMASAN : BPOM No : DTL 8505501101B1 Cara Pakai : 4 Kali sehari 1 - 2 kapsul Khasiat : Untuk meredakan batuk yang tidak berdahak atau yang menimbulkan rasa sakit Kontra indikasi : Penderita yang hipersensitif terhadap Noscapine Wanita hamil (karena mempunyai efek mutasi) dan menyusui Perhatian : Noscapine tidak boleh diberikan pada penderita yang sedang menderita sesak nafas Hati-hati bila digunakan pada penderita dengan riwayat penyakit asma dan jangan digunakan pada penderita yang mengalami serangan akut Interaksi Obat : Noscapine sebaiknya tidak diberikan brsamaan dengan alkohol atau obat penekan susunan syaraf pusat lain Komposisi : Tiap kapsul mengandung Noscapine 25 mg Cara Penyimpanan : Simpan pada suhu di bawah 30 C, terlindung dari cahaya Kemasan : Strip 4 Kapsul Diproduksi Oleh : PT Actavis Indonesia Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebaginya Expired : Expired Min > 3 Bulan"
Hot In DCL Emulsi Gel 60 Gr,"Hotin DCL indikasinya berbeda dengan Hotin yang lain, Hotin DCL merupakan emulsi gel yang cocok untuk meredakan nyeri sendi, sakit pinggang, rematik, linu dan kram. Hotin DCL adalah emulsi gel pereda nyeri yang efektif mengobati kram, pegal linu, nyeri sendi dan rematik. Hotin DCL mengandung bahan aktif diclofenac yang bekerja ke pusat rasa sakit dan meredakan kram, pegal linu, nyeri sendi dan rematik. Setelah bahan aktif terserap kedalam kulit, obat ini memberikan efek antiinflamasi (anti radang) berdasarkan efek penghambatan sintesis prostaglandin setempat. Berdasarkan efek antiinflamasi (anti radang) nya, obat ini meredakan edema (bengkak), kemerahan, memar jaringan dan nyeri (rasa sakit). Zat Aktif yang terkandung : Diclofenac merupakan golongan obat antiinflamasi nonsteroid NSAID). Berdasarkan proses kerja obat dalam tubuh, diclofenac diketahui memiliki status: Absorpsi: Diserap dalam kulit. Waktu yang dibutuhkan untuk mencapai kadar tertinggi dalam plasma (waktu puncak konsentrasi plasma) sekitar 1 jam. Distribusi: Melewati plasenta dan masuk ke dalam ASI Metabolisme: Dimetabolisme melalui hati. Ekskresi: Dikeluarkan melalui feses dan urine. Terakhir Diperbaharui : 6 Februari 2023 Ditinajau Oleh : Adibah Nurfitriani S.P Refrensi : Keterangan kemasan INFORMASI PADA KEMASAN : BPOM No : DTL 1526204228A1 Cara Pakai : Oleskan sesuai kebutuhan pada kulit yang sakit. 3 atau 4 kali sehari dan gosokkan secara perlahan. Jangka waktu pengobatan tergantung dari indikasi dan respon yang diperoleh. Dianjurkan untuk menilai ulang pengobatan setelah 2 minggu. Anak-anak tidak dianjurkan. Khasiat : Peradanagn akibat trauma pada tendon, ligament, otot dan sendi, misalnya yang disebabkan oleh terkilir, keseleo dan memar. Benuk-bentuk rematik jaingan lunak setempat seperti tendovaginitis, bursitis, sindrom bahu-tangan dan periartropati. Penyakit-penyakit rematik lokal seperti osteoartrosis sendi-sendi perifer dan osteoartritis kolumna vertebralis. Perhatian : Jauhkan dari jangkauan anak-anak. Komposisi : Tiap gram mengandung : Diclofenac Diethylamine 11.6 mg (setara dengan Diclofenac Sodium 10 mg) Cara Penyimpanan : Simpan pada suhu tidak lebih dari 30 celsius Kemasan : Dus, Tube @ 60 g Diproduksi Oleh : Ultrasakti Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebaginya Expired : Expired Min > 3 Bulan"
Cendo Cenfresh Eye Drop 5 ML,"Cendo Cenfresh merupakan obat tetes mata steril yang bekerja sebagai pembasah / pelumas pada mata yang kering dan berfungsi untuk mempertahankan agar permukaan mata tetap basah.? Cara Kerja Obat : Membentuk lapisan pelindung pada permukaan mata disebut lapisan air mata (tears film). Lapisan air mata melapisi dan membasahi mata dari hari kehari agar mata tetap sehat dan nyaman. Khasiat dan Kegunaan : Sebagai pembasah / pelumas pada mata yang kering Mengurangi iritasi pada mata yang kering Melindungi mata terhadap iritasi yang lebih lanjut Mengurangi rasa tidak nyaman akibat iritasi mata ringan, terkena angin dan matahari Terakhir diperbaharui: 27 Oktober 2020 Ditinjau Oleh : Rirry Elvira, S.S Referensi : Keterangan Kemasan INFORMASI PADA KEMASAN : BPOM No : DTL 0203808746A1 Cara Pakai : Teteskan 1 atau 2 tetes pada mata yang sakit 3 sampai 4 kali sehari atau sesuai kebutuhan Khasiat : Untuk mengurangi iritasi mata yang kering. Melindungi mata terhadap iritasi lebih lanjut, mengurangi rasa tidak nyaman karena iritasi mata ringan, terkena angin dan sinar matahari Perhatian : Jangan dipakai jika larutan berubah warna atau keruh Untuk mencegah kontaminasi, jangan memegang ujung botol Botol ditutup rapat setelah dipakai Jauhkan dari jangkauan anak-anak Jika terasa sakit, gangguan penglihatan, terjadi kemerahan dan iritasi berlanjut atau keadaan makin parah lebih dari 72 jam, hentikan pemakaian dan konsultasikan ke Dokter Komposisi : Setiap mL larutan mengandung Carmellose Sodium 5 mg Cara Penyimpanan : Simpan ditempat sejuk dan terhindar dari sinar matahari langsung Kemasan : Botol 5 mL Diproduksi Oleh : CENDO Produksi : Indonesia Disclaimer : Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebaginya"
